,file_name,title,date,coperta,pot_city_name,coperta_appended,city_name,latitude,longitude
1,data_241.json,"Fernando nel Messico, dramma per musica da rappresentarsi nel Teatro Venier in San Benedetto il carnovale dell'anno 1798",1798,"['|', 'Podreegueo', 'MANDO', 'neMESS1C2', 'A798', 'Wb', ':', 'FERNANDO', 'NEL', 'MESSICO', 'DRAMMA', 'PER', 'MUSICA', 'NEL', 'TEATRO', 'VENIER', 'IN', 'SAN', 'BENEDETTO', 'Tt', 'Carnovale', 'dell', '’', 'Anno', '1798', 'VENEZIA', '1798', 'Em', 'a1', '.', '0553', '.', '08', '5', 'ARGOMENTO', '.', 'Liorché', 'T', 'armata', 'Spagnucla', 'comane', 'ata', 'dal', 'valoroso', '¢', 'prudonte', 'Fer', '-', 'ado', 'Cortes', 'giunse', 'ad', 'impossessarsi', 'del', '-', 'Ja', 'Gitth', 'di', 'Messico', ',', 'Capitile', 'ai', 'quel', 'vax', 'sto', '©', 'ricco', 'Impero', 'del', 'nuovo', 'Monto', ',', 'se', 'deva', 'sul', '‘Troto', 'Quauhtomotzia', ',', 'a', 'cui', 'nel', '.', 'presente', 'Dramma', 'per', 'comodo', 'dell', ':', 'Poesia', ',', 'non', 'meno', 'che', 'della', 'Musica', ',', 'ot', '4', 'caneato', 'il', 'nome', 'in', 'quello', 'di', 'Telco', ',', 'Dutd', 'Vasedio', '76', 'giomi', ',', 'csi', 'rese', 'som', '‘re', 'pid', 'formidable', 'dalle', 'pare', 'doit', 'Ace', 'gressori', 'per', 'W', ""'"", 'immeoso', 'numero', 'di', 'Alleati', 'Amezicani', ',', 'che', 'si', 'unitona', 'al', 'Campo', 'Spa', '-', 'gouty', ',', 'fea', 'i', 'quali', 'i', 'pit', 'terribill', 'faro', '-', 'fo', 'i', 'Tlaseallesi', ',', '6', ')', 'per', 'Ia', 'moltitudine', '»', 'che', 'por', 'la', 'ferocia', ',', 'mentre', 'Ia', 'Repubblica', 'i', 'Tiaseala', 'era', '1a', 'pits', 'potonte', '&', 'la', '.', 'pit', 'Paes', 'neni', 'et', 'Mesicnt', 'Hee', 'il', 'glovane', 'Monatca', 'ogni', 'sforzo', 'per', 'difen', '-', 'dil', ',', 'e', ',', 'sehbeno', 'vedeme', 'git', 'eopuganta', 'gual', 'tutta', '1a', 'Citi', ',', 'ed', 'ali', 'steso', 'at', 'foste', 'rifagiato', 'in', 'un', 'angolo', 'dla', 'made', 'sia', ',', 'dov', '?', 'era', '1a', 'sua', 'mal', 'difesa', 'Reggia', ',', 'Pure', 'ricasd', 'pit', 'volte', 'i', 'trattati', 'dictexd', 'offertighi', 'dal', 'generoso', 'Gapitina', '.', '.', 'Kipal', '-', '[', 'mente', 'soguita', 'Ta', 'presa', 'del', 'Messito', 'il', 'at', '15', 'Agosto', '1531', '.', 'fu', 'fatto', 'anch', '’', 'eglt', 'pri', 'atte', 'co', 'St', 'Regio', 'Teens', 'poss', ',', 'alla', 'quale', 'si', '¢', 'pure', 'cangiato', 'ik', 'Ag', 'Doe']",['venezia'],1,Venice,45.437129999999996,12.33265
2,data_6.json,"Adelaide di Borgogna, melodramma serio in due atti di Luigi Romanelli, musica di Pietro Generali. Da rappresentarsi in Venezia nel Teatro di San Benedetto la primavera 1829",1829,"['2d', 'luh', 'By', 'pdereLe', 'xf', ',', 'PRADO', 'oR', 'pi', 'oie', 'oe', 'este', 'ADELAIDE', 'Co', 'eee', 'k', ':', ';', 'i', 'k', 'BORGOGNA', '.', ':', 'i', 'i', 'i', 'i', 'CORI', 'OR', 'OR', 'i', 'DR', 'de', 'et', 'ADELAIDE', '‘DI', 'BORGOCNA', '(', 'MELODRAMMA', 'SERIO', 'IN', 'DUE', 'ATTT', 'LUIG', '!', 'ROMANELLI', '.', 'MUSICA', 'DI', 'PIETRO', 'GENERALT', '‘DA', 'RAPERESENTARSIIN', 'VENEZIA', 'NEL', 'TEATRO', 'DI', 'SAN', 'BENEDETTO', 'LA', 'PRIMAVERA', '1820', ':', '“VENEIa', '‘pinta', 'worn', '.', 'ait', '.', 'mast', '.']",['venezia'],0,Venice,45.437129999999996,12.33265
4,data_852.json,"La vera costanza dramma giocoso per musica da rappresentarsi nel Teatro Zagnoni in Bologna l'autunno dell'anno 1780. Dedicato all'e.mo, e r.mo signor cardinale Ignazio Boncompagni Ludovisi degnissimo legato a latere di questa città",1780,"['ANF', 'OSS', '!', 'LA', 'VERA', 'COSTANZA', 'Itke', ':', 'LA', 'Send', '|', 'COSTANZA', 'Dramma', 'giocofo', 'per', 'Mufica', 'DA', 'RAPPRESENTARSI', 'F', 'NEL', 'TEATRO', 'ZAGNONI', 'Re', 'IN', 'BOLOGNA', '|', '‘L', '’', 'Autunno', 'dell', '’', 'Anno', '1780', ';', '[', 'jp', '_', 'aedese', 'ante', ',', '«', 'to', 'sigan', 'CARDINALE', '-', 'IGNAZIO', 'BONCOMPAGNT', 'if', 'LuDOVIsS', '!', 'Degnifimo', 'Legato', '2', 'Latere', '‘', 'ai', 'qoefis', 'Cita', '.', '|', 'alee', '“Tamme', 'ada', 'jem', '|', 'OMe', '‘']",['bologna'],0,Bologna,44.493809999999996,11.33875
6,data_655.json,"L' occasione fa il ladro burletta per musica da rappresentarsi per la prima volta nel Teatro Giustiniani in san Moisè nell'autunno dell'anno 1812. Parole di Luigi Prividali. Musica di Gioachino Rossini, pesarese",1812,"['L', ""'"", 'OCCASIONE', 'FA', 'IL', 'LADRO', 'BURLEITA', 'PER', 'MUSICA', 'PER', 'LA', 'PRIMA', 'VOLTA', 'NEL', 'TEATRO', 'GIUSTINIANI', 'IN', 'SAN', 'MOISE', 'Noll', 'Astin', 'dell', 'Ano', '882', 'Porste', ',', '8', 'Tail', 'Pavia', '.', 'Muzica', ',', 'ai', 'Gionching', 'Rosin', ',', 'Bias', '.', 'IN', 'VENELIA', 'Mees', 'Stameznia', 'Misi']",['pavia'],0,Pavia,45.19205,9.15917
7,data_579.json,L' Olimpiade dramma per musica da rappresentarsi nel Regio Teatro di Torino nel carnovale del 1765. Alla presenza di S.S.R.M.,1765,"['LOLIMPIADE', 'DRAMMA', 'PER', 'MUSICA', 'DA', '.', 'RAPPRESENTARSI', 'NEL', 'REGIO', 'TEATRO', 'DI', 'TORINO', 'NEL', 'CARNOVALE', 'dal', '1765', '.', 'ALLA', 'PRESENZA', '5S', '.', '5', '.', 'Ro', 'Me', 'Pretlo', 'GASPARE', '.', 'i', '‘ella', 'Socitd', 'de', 'Signott', 'Caalet', '.']",['torino'],0,Turin,45.07049,7.68682
9,data_586.json,"L' amante anonimo, farsa giocosa per musica di Giuseppe Foppa da rappresentarsi nel nobilissimo Teatro in San Moise' l'autunno dell'anno 1803",1803,"['O18', '.', 'L', ""'"", 'AMANTE', 'ANONIMO', 'FARSA', 'GIOCOSA', 'PER', 'MUSICA', 'DI', 'GIUSEPPE', 'FOPPA', '|', 'DA', 'RAPPRESENTARSE', 'NEL', 'NOBILISSIMO', 'TEATRO', 'IN', 'SAN', 'MOISE', 'E', 'dstunse', 'dei', '?', 'duno', 'x03', '.', 'wom', 'IN', 'VENEZIA', 'PER', 'IL', 'CASALE', 'Con', 'Bekmissione', '.']","['venezia', 'casale']",0,Venice,45.437129999999996,12.33265
10,data_312.json,"I Capuleti e i Montecchi, tragedia lirica da rappresentarsi nel Gran Teatro La Fenice il carnovale dell'anno 1830",1830,"['BELLINY', '36', '.', 'LG', 'wlat', ',', 'of', '2', 'dd', 'hatecli', ',', 'I', 'CaRU', 'LE', 'I', 'MONTECCHI', 'TRAGEDIA', 'LIRICA', 'NEL', 'GRAN', 'TEATRO', 'LAFENICE', '2', 'Camovate', 'det', '?', 'Anno', '1130', ',', 'IN', 'VENEZIA', 'Dawa', 'ruconana', 'casts', '.', 'es']",['venezia'],0,Venice,45.437129999999996,12.33265
11,data_633.json,"L' incognita perseguitata dramma giocoso per musica da rappresentarsi nel nobile Teatro di Udine il carnovale 1780. Umiliato alle gentili nobiliss.me dame, ed egregj nobiliss.mi cavalieri di detta citta'",1779,"['L', 'INCOGNITA', 'PERSEGUITATA', 'DRAMMA', 'GIOCOSO', 'PER', 'MUSICA', 'Da', 'Rapprefenterfi', '‘Net', 'Nosite', 'Teatro', 'pt', 'Unive', 'Ml', 'Carmovale', '1780', '.', 'UMILIATO', 'ALLE', 'GENTILI', 'NOBILISs', '.', '“', '*', 'DAME', ',', 'ED', 'EGREG', ']', 'NOBILISs', '.', '“', '""', 'CAVALIERI', 'DI', 'DETTA', 'CiTTA', '.', 'ne', 'at', 'et', 'aaah', 'eb', 'In', 'UDINE', ',', 'per', 'ti', 'Frat', 'Marero', '.', 'CON', 'LICENZ', '.', 'A', 'DE', 'SUPERIORI', '.', 'ro', '3', 'NOBILISSIME', 'GENTILI', 'DAME', ',', 'eD', 'EGREGJ', 'NOBILISS', '.', 'CAVALIERI', '.', 'Lc', '.', 'puttico', 'comparimeno', '5', '.', 'rife', 'daito', 'feorfo', 'Dramme', 'initolato', 'Ti', ',', 'Massro', '1', 'Sosperro', 'da', 'me', 'efplofiaquefle', 'Misr', 'Seem', 'ne', 'maida', 'cvaggio', 'di', 'efporreceleremente»', 'che', 'il', 'fecando', ',', 'che', 'porta', 'per', 'stole', 'Ls', 'Twco', '-', 'aura', 'Pensecurrata', '«Nine', 'fade', 'le', '-', 'Seiai', 'intemata', 'onde', 'rendero', '.', 'degra', 'dell', 'wn', '‘erfile', 'aggradimento', '.', 'Egli', '®', 'a', 'eilifios', 'Mafia', '¢', 'tutte', 'quell', 'arredo', 'miglione', 'con']",['udine'],1,Udine,46.0693,13.23715
12,data_1092.json,"Una cosa rara, ossia Bellezza, ed Onestà, dramma giocoso per musica. Da rappresentarsi nel Teatro Grande alla Scala l'autunno dell'anno 1787. Dedicato alle LL. AA. RR. il Serenissimo Arciduca Ferdinando. Principe reale d'Ungheria ... e la Serenissima Arciduchessa Maria Ricciarda Beatrice d'Este. Principessa di Modena.",1787,"['eR', 'UNA', 'COSA', 'RARA', 'OSStA', 'BELLEZZA', ',', 'ED', 'ONESTA', '’', 'DRAMMA', 'GlOCOso', 'PER', 'MUSICA', 'DA', 'RAPPRESENTARS', '!', 'NEL', 'TEATRO', 'GRANDE', 'ALLA', 'SCALA', 'LE', 'Sarwrne', 'del', '!', 'anv', '07', '87', '.', 'pepieaTo', '’', 'Alle', 'LL', ',', 'AA', ',', 'RR', '.', 'IL', 'SERENISSIMO', 'ARCIDUCA', 'FERDINANDO', 'Pncipe', 'Reale', '&', 'Ungeria¢', 'Boomin', ',', 'Arioca', 'Aufa', ',', '‘Blea', 'Borpoests¢', 'at', 'Lore', 'cx»', 'Cetrvo', 'Ree', '‘ange', 'Hetele', ',', 'Governance', 'eatzale', 'nels', 'Lombardia', 'Awfiinea', ',', 'BLA', 'SERENISSIMA', 'ARCIDUGHESSA', '.', 'MARIA', 'BICCIARDA', 'BEATRICE', 'D', 'ESTE', 'PRINCIPESSA', 'DI', 'MODENS', '.', 'IN', 'MILANO', 'Appreffo', 'Gio', ',', 'Batifla', 'Bianchi', 'Regio', 'Stampatore', 'Cella', 'Permifione', '.']",['milano'],0,Milan,45.46427,9.18951
15,data_291.json,"Gli amanti alla prova, dramma giocoso per musica di Giovanni Bertati. Da rappresentarsi nel Teatro Giustiniani in San Moisè per la prima opera del carnovale 1784",1783,"['GLI', 'AMANTI', 'ALLA', 'PROVA', 'DRAMMA', 'GlOCoso', 'PER', 'MUSICA', 'DI', 'GIOVANNI', 'BERTATI', 'DA', 'RAPPRESENTARST', 'NEL', 'TEATRO', 'GIUSTINIANT', 'IN', 'SAN', 'MOISE', 'PER', 'LA', 'PRIMA', 'OPERA', 'DEL', 'GARNOVALE', 'wt', ',', 'IN', 'VENEZIA', ',', 'MDOCLXXXIL']",['venezia'],0,Venice,45.437129999999996,12.33265
16,data_565.json,L' Ernelinda dramma per musica da rappresentarsi nel Teatro di S. Sebastiano nel presente autunno dell'anno 1729. Sotto la protezine dell'altezza reale del sereniss. Gio. Gastone 1. gran duca di Toscana,1729,"['DR', '&', 'MMA', 'PER', 'MUSICA', 'Da', 'rapprefentarti', 'IN', 'LIVORNO', 'NEL', 'TEATRO', 'F', 'DI', '§', '.', 'SEBASTIANO', 'Nel', 'prefente', 'Autunno', 'dell”', 'Anno', '1729', '.', 'SOTTO', 'LA', 'PROTEZIONE', 'Dell', '!', 'Altezoa', 'Reale', 'del', 'Serenifi«', 'IN', 'LUCCA', '1719', '.', '—', '=', 'Domenico', 'Ghutfetd', '»', 'ON', 'LICENZA', 'DE', 'ston', 'OE']","['livorno', 'lucca']",0,Livorno,43.544270000000004,10.32615
17,data_64.json,Antigona in Tebe dramma per musica da rappresentarsi nel Real Teatro di S. Carlo nell'està dell'anno 1755. Alla maestà del Re nostro invitto sovrano dedicato,1755,"['ANTIGONA', '.', 'IN', 'TEBE', 'DRAMMA', 'PER', 'MUSICA', 'DA', 'RAPPRESENTARSE', 'Nel', 'Real', 'Teatro', 'di', 'S', '.', 'Carlo', 'nell', '’', '£22', 'dell', '’', 'anno', '1755', '.', 'ALLA', 'MAESTA', 'DRL', 'RE', 'NOSTRO', 'INVITTO', 'SOVRANO', 'DEDICATo', ',', 'IN', 'NAPOLI', 'MDcCLy', ',', 'Pre', 'Domenico', 'Lawciawo', 'fe', 'SR', 'Ea', 'Ror', 'cores', 'SACRA', 'REAL', 'MAESTA', '’', '.', 'SIGNORE', ':', 'Fferifco', ';', '¢', '\\', 'prefento', 'il', 'Drama', 'del', 'PAwricoxa', 'alla', 'M', '.', 'V', '.', ';', 'incuiri', '-', 'fplendono', 'alcune', 'di', 'quelle', 'eroiche', 'virtti', ',', 'le', 'quali', 'in', 'numero', 'aa', 'abe', '«', 'gma', 'in', 'Ifcena', ';', 'ma', 'in', '-', 'abbondante', ',', '€', 'pet', '-', '|', 'na', ',', 'in', '’', 'cui', 'Ie', 'Reali', 'fettiflimo', 'adornano', ']', 'Macha', 'fogliono', 'di', 'il', 'Voftro', 'Generofo', ',', 'prefenza', 'onorare', ',', '¢', 'c', 'Real', 'Animo', ':', 'una', 'sender', 'pit', '’', 'magnifi', '-', 'ben', 'leggitima', 'cag', '-', '|', 'co', '5', 'luminofo', 'il', 'gione', 'ha', 'impedito', '5', ']', 'R', 'cal', 'Teatro', ':', 'Sicom', '-', 'che', 'fi', 'produceflepriy', 'piaccia', 'la', '.', 'M', '.', 'S', '.', 'di', 'gradire', 'un', 'picciolo', 'fegno', 'dal', 'mio', 'pro', '-', 'pit', '.', 'maturo', 'per', '|', 'fondiflimo', 'ofléquio', ',', 'giorno', 'del', 'Nome', 'fe', 'e', 'pregandole', 'fempre', 'liciffimo', 'della', 'noftra', 'dai', 'Ciclo', 'ogni', 'mag', '-', 'Auguftiflima', 'Regitgior', 'profperiei', ',', 'a3', 'Huo', 'tanto', 'fi', 'trovera', 'Egl', '7']",['napoli'],1,Naples,40.85216,14.26811
